TIME|SYMBOL|ENTER_PRICE|TAKE_PROFIT|STOP_LOSS|RESULT|CANDLE_LENGTH|TP_RATIO|SL_RATIO|DAY_PERCENT|TIME_IN_TRADE|ATH|ATL|TAB_PRICES|LAST_24HOUR
2022-12-03 16:11:01.131962|FORTHBUSD|3.52|3.5904|3.5024|0|1.0202898550724637|0.02|0.005|11.429|-1 day, 23:59:22.314261|3.53|3.5|[3.52, 3.52, 3.53, 3.53, 3.52, 3.52, 3.51, 3.51, 3.51, 3.51, 3.51, 3.53, 3.5]|[3.22, 3.31, 3.35, 3.37, 3.44, 3.4, 3.43, 3.38, 3.34, 3.33, 3.3, 3.26, 3.23, 3.25, 3.25, 3.23, 3.47, 3.36, 3.31, 3.41, 3.53, 3.53, 3.45, 3.5]
2022-12-03 16:13:26.614943|FORTHBUSD|3.53|3.6006|3.5123499999999996|0|1.0231884057971012|0.02|0.005|12.063|-1 day, 23:56:36.217341|3.59|3.51|[3.53, 3.52, 3.53, 3.53, 3.57, 3.58, 3.58, 3.57, 3.57, 3.58, 3.59, 3.58, 3.59, 3.59, 3.59, 3.58, 3.59, 3.59, 3.59, 3.58, 3.58, 3.59, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.58, 3.59, 3.58, 3.58, 3.57, 3.56, 3.56, 3.55, 3.55, 3.55, 3.55, 3.55, 3.55, 3.55, 3.55, 3.54, 3.54, 3.54, 3.54, 3.54, 3.54, 3.53, 3.53, 3.53, 3.53, 3.54, 3.54, 3.54, 3.54, 3.54, 3.54, 3.53, 3.53, 3.53, 3.53, 3.53, 3.53, 3.53, 3.53, 3.51]|[3.22, 3.31, 3.35, 3.37, 3.44, 3.4, 3.43, 3.38, 3.34, 3.33, 3.3, 3.26, 3.23, 3.25, 3.25, 3.23, 3.47, 3.36, 3.31, 3.41, 3.53, 3.53, 3.45, 3.51]
2022-12-03 16:21:11.750584|RAYBUSD|0.2206|0.225012|0.219497|0|1.0298786181139121|0.02|0.005|21.689|-1 day, 23:56:25.548905|0.2211|0.2185|[0.2206, 0.2206, 0.2206, 0.2206, 0.2206, 0.2206, 0.2206, 0.2208, 0.2208, 0.2203, 0.2205, 0.2203, 0.2203, 0.2203, 0.2205, 0.2203, 0.2203, 0.2203, 0.2203, 0.2201, 0.2201, 0.2201, 0.2201, 0.22, 0.22, 0.2203, 0.22, 0.22, 0.22, 0.22, 0.22, 0.2199, 0.2198, 0.22, 0.2199, 0.22, 0.22, 0.22, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2202, 0.2207, 0.2211, 0.221, 0.2209, 0.2206, 0.2207, 0.2207, 0.221, 0.2209, 0.2209, 0.221, 0.2207, 0.2207, 0.2207, 0.2207, 0.2208, 0.2208, 0.2207, 0.2207, 0.2207, 0.2207, 0.2208, 0.2209, 0.2208, 0.2208, 0.2207, 0.2207, 0.2207, 0.2208, 0.2208, 0.2208, 0.2207, 0.2202, 0.2202, 0.2206, 0.2202, 0.2202, 0.2202, 0.2204, 0.2204, 0.2204, 0.2204, 0.2202, 0.2204, 0.2204, 0.2202, 0.2202, 0.2202, 0.2195, 0.2185]|[0.1824, 0.182, 0.1829, 0.1814, 0.1813, 0.1833, 0.1827, 0.182, 0.183, 0.1835, 0.1832, 0.1841, 0.1836, 0.1829, 0.1993, 0.196, 0.1981, 0.2201, 0.2264, 0.218, 0.2199, 0.2178, 0.2142, 0.2185]
2022-12-03 16:41:35.055855|FIDABUSD|0.4185|0.42686999999999997|0.4164075|1|1.049924736578023|0.02|0.005|8.756|-1 day, 23:52:13.051774|0.427|0.4179|[0.4185, 0.4179, 0.4184, 0.4185, 0.4185, 0.4181, 0.4185, 0.4185, 0.4184, 0.4185, 0.4184, 0.4181, 0.4181, 0.4187, 0.4187, 0.4191, 0.4187, 0.4194, 0.4194, 0.419, 0.419, 0.419, 0.4189, 0.419, 0.419, 0.4182, 0.4191, 0.4193, 0.4195, 0.4193, 0.4193, 0.4193, 0.4193, 0.4193, 0.4193, 0.42, 0.4196, 0.4193, 0.4194, 0.42, 0.4198, 0.42, 0.42, 0.4198, 0.4199, 0.4198, 0.4198, 0.4198, 0.4199, 0.4196, 0.4193, 0.4191, 0.4197, 0.4198, 0.42, 0.4198, 0.4199, 0.42, 0.4199, 0.4198, None, 0.42, 0.4199, 0.42, 0.42, 0.42, 0.4198, 0.4198, 0.42, 0.419, 0.4197, 0.4197, 0.4191, 0.4196, 0.4191, 0.418, 0.4184, 0.4189, 0.4189, 0.4185, 0.4185, 0.4185, 0.4187, 0.4194, 0.4198, 0.4194, 0.42, 0.42, 0.42, 0.4191, 0.4199, 0.4185, 0.42, 0.42, 0.42, 0.42, 0.419, 0.419, 0.419, 0.4197, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.4197, 0.42, 0.42, 0.42, 0.42, 0.4199, 0.4199, 0.42, 0.42, 0.42, 0.4195, 0.4195, 0.4195, 0.4195, 0.42, 0.4195, 0.42, 0.42, 0.4208, 0.4215, 0.4218, 0.4227, 0.4224, 0.4221, 0.4227, 0.4232, 0.4235, 0.4236, 0.4236, 0.4234, 0.4234, 0.4236, 0.4236, 0.4234, 0.4234, 0.4236, 0.424, 0.4243, 0.4248, 0.4248, 0.425, 0.4233, 0.4204, 0.4203, 0.4243, 0.4235, 0.4256, 0.4255, 0.4255, 0.4233, 0.4255, 0.4253, 0.4246, 0.4255, 0.4254, 0.4254, 0.4235, 0.4251, 0.4251, 0.4245, 0.4256, 0.4257, 0.4262, 0.4267, 0.427]|[0.381, 0.3844, 0.3812, 0.3819, 0.3842, 0.3844, 0.385, 0.3831, 0.3806, 0.383, 0.3817, 0.3851, 0.3843, 0.3834, 0.3828, 0.3993, 0.447, 0.413, 0.4065, 0.3999, 0.3961, 0.397, 0.3985, 0.427]
2022-12-03 16:49:39.170942|FIDABUSD|0.4277|0.43625400000000003|0.42556150000000004|0|1.0730055193176116|0.02|0.005|11.992|-1 day, 23:57:27.304492|0.436|0.4239|[0.4278, 0.4273, 0.4272, 0.4273, 0.4275, 0.4276, 0.4276, 0.4273, 0.4273, 0.4273, 0.4278, 0.4278, 0.429, 0.429, 0.4299, 0.43, 0.4307, 0.4319, 0.4319, 0.4319, 0.4319, 0.4319, 0.4322, 0.4322, 0.4335, 0.4333, 0.4349, 0.434, 0.4341, 0.4341, 0.434, 0.434, 0.4347, 0.4345, 0.4343, 0.4343, 0.436, 0.435, 0.4343, 0.4315, 0.432, 0.4291, 0.4292, 0.4296, 0.4302, 0.4315, 0.4323, 0.432, 0.4322, 0.4322, 0.432, 0.4321, 0.4316, 0.4322, 0.4321, 0.4239]|[0.381, 0.3844, 0.3812, 0.3819, 0.3842, 0.3844, 0.385, 0.3831, 0.3806, 0.383, 0.3817, 0.3851, 0.3843, 0.3834, 0.3828, 0.3993, 0.447, 0.413, 0.4065, 0.3999, 0.3961, 0.397, 0.3985, 0.4237]
2022-12-03 16:55:15.928153|RAYBUSD|0.2215|0.22593|0.2203925|0|1.0340802987861812|0.02|0.005|21.928|-1 day, 23:54:51.019327|0.224|0.2196|[0.222, 0.222, 0.222, 0.222, 0.222, 0.2219, 0.2219, 0.2219, 0.2218, 0.2219, 0.2214, 0.2214, 0.2214, 0.2214, 0.2214, 0.2215, 0.2218, 0.2218, 0.2218, 0.2218, 0.2218, 0.2218, 0.2218, 0.2218, 0.2218, 0.2219, 0.2219, 0.2219, 0.2219, 0.2219, 0.2219, 0.2219, 0.2218, 0.2218, 0.2218, 0.2218, 0.2218, 0.2217, 0.2217, 0.2217, 0.2218, 0.2219, 0.2219, 0.2217, 0.2219, 0.2216, 0.2216, 0.2216, 0.2216, 0.2216, 0.2216, 0.2216, 0.2219, 0.2219, 0.2219, 0.2219, 0.2219, 0.2222, 0.2224, 0.2224, 0.2234, 0.224, 0.2236, 0.223, 0.2235, 0.2238, 0.2236, 0.2238, 0.2239, 0.2239, 0.224, 0.224, 0.2239, 0.2234, 0.2233, 0.2229, 0.2229, 0.2226, 0.2226, 0.2226, 0.221, 0.2213, 0.2213, 0.2213, 0.2213, 0.2215, 0.2215, 0.2215, 0.2216, 0.2216, 0.2216, 0.2216, 0.2216, 0.2217, 0.2216, 0.2216, 0.2216, 0.2216, 0.2216, 0.2216, 0.2216, 0.2217, 0.2219, 0.2219, 0.222, 0.222, 0.222, 0.222, 0.2222, 0.2222, 0.2222, 0.2222, 0.2222, 0.2221, 0.2221, 0.222, 0.222, 0.2215, 0.2213, 0.2218, 0.2204, 0.2204, 0.2211, 0.2207, 0.2196]|[0.182, 0.1829, 0.1814, 0.1813, 0.1833, 0.1827, 0.182, 0.183, 0.1835, 0.1832, 0.1841, 0.1836, 0.1829, 0.1993, 0.196, 0.1981, 0.2201, 0.2264, 0.218, 0.2199, 0.2178, 0.2142, 0.2215, 0.2197]
2022-12-03 17:23:22.107157|FORTHBUSD|3.56|3.6312|3.5422000000000002|0|1.0289017341040463|0.02|0.005|11.635|-1 day, 23:59:23.438303|3.57|3.54|[3.56, 3.55, 3.57, 3.57, 3.56, 3.55, 3.56, 3.55, 3.55, 3.55, 3.55, 3.56, 3.55, 3.54]|[3.31, 3.35, 3.37, 3.44, 3.4, 3.43, 3.38, 3.34, 3.33, 3.3, 3.26, 3.23, 3.25, 3.25, 3.23, 3.47, 3.36, 3.31, 3.41, 3.53, 3.53, 3.45, 3.47, 3.53]
2022-12-03 17:25:28.360250|QIBUSD|0.0087|0.008874|0.0086565|0|1.0211267605633803|0.02|0.005|9.584|-1 day, 23:59:00.096296|0.0087|0.00864|[0.0087, 0.00868, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00866, 0.00866, 0.00866, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00868, 0.00867, 0.00868, 0.00867, 0.00869, 0.00864]|[0.00792, 0.00809, 0.00865, 0.00818, 0.00823, 0.00822, 0.00829, 0.00822, 0.00819, 0.00813, 0.00812, 0.00827, 0.0082, 0.00821, 0.00817, 0.00825, 0.00844, 0.00831, 0.00836, 0.00844, 0.0084, 0.00855, 0.00852, 0.00864]
2022-12-03 17:30:42.442548|QIBUSD|0.00871|0.0088842|0.008666450000000001|1|1.0223004694835682|0.02|0.005|9.722|-1 day, 23:53:53.516308|0.00889|0.00868|[0.00871, 0.00871, 0.00872, 0.00872, 0.00872, 0.00873, 0.00871, 0.00872, 0.00873, 0.00872, 0.0087, 0.0087, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00871, 0.00871, 0.00872, 0.00871, 0.00872, 0.00872, 0.00872, 0.00872, 0.00872, 0.00871, 0.00871, 0.00871, 0.00871, 0.00871, 0.00871, 0.00871, 0.00871, 0.00871, 0.00871, 0.00871, 0.00869, 0.0087, 0.0087, 0.00872, 0.00873, 0.00873, 0.00873, 0.00872, 0.00872, 0.0087, 0.00868, 0.00868, 0.00868, 0.00869, 0.00869, 0.00869, 0.00868, 0.00869, 0.00869, 0.00869, 0.00869, 0.00869, 0.00871, 0.00871, 0.00871, 0.00871, 0.00872, 0.00872, 0.00869, 0.00873, 0.00873, 0.00873, 0.00872, 0.00872, 0.00872, 0.00873, 0.00872, 0.00874, 0.00874, 0.00874, 0.00873, 0.00873, 0.00874, 0.00874, 0.00874, 0.00874, 0.00874, 0.00875, 0.00876, 0.00876, 0.00875, 0.00876, 0.00876, 0.00876, 0.00875, 0.00878, 0.00877, 0.00878, 0.00878, 0.00878, 0.00879, 0.00879, 0.0088, 0.0088, 0.00879, 0.00881, 0.0088, 0.0088, 0.00882, 0.00884, 0.00885, 0.00884, 0.00884, 0.00884, 0.00882, 0.00883, 0.00884, 0.00882, 0.00885, 0.00883, 0.00881, 0.00884, 0.00884, 0.00885, 0.00886, 0.00887, 0.00887, 0.00887, 0.00888, 0.00888, 0.00887, 0.00888, 0.00887, 0.00887, 0.00888, 0.00887, 0.00887, 0.00887, 0.00887, 0.00887, 0.00889]|[0.00792, 0.00809, 0.00865, 0.00818, 0.00823, 0.00822, 0.00829, 0.00822, 0.00819, 0.00813, 0.00812, 0.00827, 0.0082, 0.00821, 0.00817, 0.00825, 0.00844, 0.00831, 0.00836, 0.00844, 0.0084, 0.00855, 0.00852, 0.00889]
2022-12-03 17:37:10.121946|QIBUSD|0.0089|0.009078|0.0088555|0|1.0446009389671362|0.02|0.005|12.374|-1 day, 23:59:10.109354|0.00893|0.00882|[0.0089, 0.0089, 0.00891, 0.00891, 0.00891, 0.00891, 0.0089, 0.00891, 0.00892, 0.00892, 0.00892, 0.00892, 0.00893, 0.00889, 0.00891, 0.00887, 0.00887, 0.00882]|[0.00792, 0.00809, 0.00865, 0.00818, 0.00823, 0.00822, 0.00829, 0.00822, 0.00819, 0.00813, 0.00812, 0.00827, 0.0082, 0.00821, 0.00817, 0.00825, 0.00844, 0.00831, 0.00836, 0.00844, 0.0084, 0.00855, 0.00852, 0.00884]
